1	9d487a66-e5c2-4651-a010-4f6638b8550a	(pad)	=
2	9d487a66-e5c2-4651-a010-4f6638b8550a	0	A
3	9d487a66-e5c2-4651-a010-4f6638b8550a	1	B
4	9d487a66-e5c2-4651-a010-4f6638b8550a	10	K
5	9d487a66-e5c2-4651-a010-4f6638b8550a	11	L
6	9d487a66-e5c2-4651-a010-4f6638b8550a	12	M
7	9d487a66-e5c2-4651-a010-4f6638b8550a	13	N
8	9d487a66-e5c2-4651-a010-4f6638b8550a	14	O
9	9d487a66-e5c2-4651-a010-4f6638b8550a	15	P
10	9d487a66-e5c2-4651-a010-4f6638b8550a	16	Q
11	9d487a66-e5c2-4651-a010-4f6638b8550a	17	R
12	9d487a66-e5c2-4651-a010-4f6638b8550a	18	S
13	9d487a66-e5c2-4651-a010-4f6638b8550a	19	T
14	9d487a66-e5c2-4651-a010-4f6638b8550a	2	C
15	9d487a66-e5c2-4651-a010-4f6638b8550a	20	U
16	9d487a66-e5c2-4651-a010-4f6638b8550a	21	V
17	9d487a66-e5c2-4651-a010-4f6638b8550a	22	W
18	9d487a66-e5c2-4651-a010-4f6638b8550a	23	X
19	9d487a66-e5c2-4651-a010-4f6638b8550a	24	Y
20	9d487a66-e5c2-4651-a010-4f6638b8550a	25	Z
21	9d487a66-e5c2-4651-a010-4f6638b8550a	26	a
22	9d487a66-e5c2-4651-a010-4f6638b8550a	27	b
23	9d487a66-e5c2-4651-a010-4f6638b8550a	28	c
24	9d487a66-e5c2-4651-a010-4f6638b8550a	29	d
25	9d487a66-e5c2-4651-a010-4f6638b8550a	3	D
26	9d487a66-e5c2-4651-a010-4f6638b8550a	30	e
27	9d487a66-e5c2-4651-a010-4f6638b8550a	31	f
28	9d487a66-e5c2-4651-a010-4f6638b8550a	32	g
29	9d487a66-e5c2-4651-a010-4f6638b8550a	33	h
30	9d487a66-e5c2-4651-a010-4f6638b8550a	34	I
31	9d487a66-e5c2-4651-a010-4f6638b8550a	35	j
32	9d487a66-e5c2-4651-a010-4f6638b8550a	36	k
33	9d487a66-e5c2-4651-a010-4f6638b8550a	37	l
34	9d487a66-e5c2-4651-a010-4f6638b8550a	38	m
35	9d487a66-e5c2-4651-a010-4f6638b8550a	39	n
36	9d487a66-e5c2-4651-a010-4f6638b8550a	4	E
37	9d487a66-e5c2-4651-a010-4f6638b8550a	40	o
38	9d487a66-e5c2-4651-a010-4f6638b8550a	41	p
39	9d487a66-e5c2-4651-a010-4f6638b8550a	42	q
40	9d487a66-e5c2-4651-a010-4f6638b8550a	43	r
41	9d487a66-e5c2-4651-a010-4f6638b8550a	44	s
42	9d487a66-e5c2-4651-a010-4f6638b8550a	45	t
43	9d487a66-e5c2-4651-a010-4f6638b8550a	46	u
44	9d487a66-e5c2-4651-a010-4f6638b8550a	47	v
45	9d487a66-e5c2-4651-a010-4f6638b8550a	48	w
46	9d487a66-e5c2-4651-a010-4f6638b8550a	49	x
47	9d487a66-e5c2-4651-a010-4f6638b8550a	5	F
48	9d487a66-e5c2-4651-a010-4f6638b8550a	50	y
49	9d487a66-e5c2-4651-a010-4f6638b8550a	51	z
50	9d487a66-e5c2-4651-a010-4f6638b8550a	52	0
51	9d487a66-e5c2-4651-a010-4f6638b8550a	53	1
52	9d487a66-e5c2-4651-a010-4f6638b8550a	54	2
53	9d487a66-e5c2-4651-a010-4f6638b8550a	55	3
54	9d487a66-e5c2-4651-a010-4f6638b8550a	56	4
55	9d487a66-e5c2-4651-a010-4f6638b8550a	57	5
