http://terminology.hl7.org/CodeSystem/v3-Race	1002-5	American Indian or Alaska Native	\N	d934a298-1991-4310-a758-01cb8a516c1b	\N
http://terminology.hl7.org/CodeSystem/v3-Race	2028-9	Asian	\N	d934a298-1991-4310-a758-01cb8a516c1b	\N
http://terminology.hl7.org/CodeSystem/v3-Race	2054-5	Black or African American	\N	d934a298-1991-4310-a758-01cb8a516c1b	\N
http://terminology.hl7.org/CodeSystem/v3-Race	2076-8	Native Hawaiian or Other Pacific Islander	\N	d934a298-1991-4310-a758-01cb8a516c1b	\N
http://terminology.hl7.org/CodeSystem/v3-Race	2106-3	White	\N	d934a298-1991-4310-a758-01cb8a516c1b	\N
http://terminology.hl7.org/CodeSystem/v3-Race	2131-1	Other Race	\N	d934a298-1991-4310-a758-01cb8a516c1b	\N
http://terminology.hl7.org/CodeSystem/v2-0440	AD	Address	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	AUI	Authorization information	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CCD	Charge code and date	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CCP	Channel calibration parameters	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CD	Channel definition	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CE	Coded Entry	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CF	Coded element with formatted values	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CK	Composite ID With Check Digit	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CM	Composite	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CN	Composite ID And Name	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CNE	Coded with no exceptions	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CNN	Composite ID number and name simplified	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CP	Composite price	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CQ	Composite quantity with units	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CSU	Channel sensitivity and units	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CWE	Coded with exceptions	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
http://terminology.hl7.org/CodeSystem/v2-0440	CX	Extended composite ID with check digit	\N	4538249e-ba51-41ef-a09f-ab3735c708b2	\N
